name,symbol,Date,closingprice
Welltower,WELL,4/30/2021 0:00,75.03
Helmerich Payne,HP,4/30/2021 0:00,25.63
Hormel Foods,HRL,4/30/2021 0:00,46.2
Invesco,IVZ,4/30/2021 0:00,27
Iron Mountain,IRM,4/30/2021 0:00,40.12
Eversource Energy,ES,4/30/2021 0:00,86.22
NRG,NRG,4/30/2021 0:00,35.82
ONEOK,OKE,4/30/2021 0:00,52.34
Owens-Illinois,OI,4/30/2021 0:00,16.49
Pioneer Natural,PXD,4/30/2021 0:00,153.83
Republic Services,RSG,4/30/2021 0:00,106.3
Roper Technologies,ROP,4/30/2021 0:00,446.44
Ventas,VTR,4/30/2021 0:00,55.46
WEC Energy,WEC,4/30/2021 0:00,97.17
RR Donnelley & Sons,RRD,4/30/2021 0:00,4.33
Barrick Gold,GOLD,4/30/2021 0:00,21.25
Agnico Eagle Mines,AEM,4/30/2021 0:00,62.44
Autoliv,ALV,4/30/2021 0:00,100.66
The Blackstone,BX,4/30/2021 0:00,88.49
Chimera Investment,CIM,4/30/2021 0:00,13.14
Cohen Steers,CNS,4/30/2021 0:00,68.02
3D Systems,DDD,4/30/2021 0:00,21.54
Lazard,LAZ,4/30/2021 0:00,44.99
Magna Intl,MGA,4/30/2021 0:00,94.42
Marathon Petroleum,MPC,4/30/2021 0:00,55.65
Nustar,NS,4/30/2021 0:00,19.16
Overseas Shipholding,OSG,4/30/2021 0:00,2.21
RPC,RES,4/30/2021 0:00,4.86
Southern Copper,SCCO,4/30/2021 0:00,69.41
Sandridge Energy,SD,4/30/2021 0:00,4.06
Titan,TWI,4/30/2021 0:00,10.79
Under Armour A,UAA,4/30/2021 0:00,24.31
